조식_밥,조식_국,조식_반찬,점심_밥,점심_국,점심_반찬,저녁_밥,저녁_국,저녁_반찬
표고버섯죽/쌀밥,감자국,느타리볶음,쌀밥/잡곡밥,민물새우찌개,소고기장조림,베이컨김치볶음밥,새우튀김우동,찹쌀순대볶음
누룽지탕/쌀밥,들깨시래기국,브로컬리초장,쌀밥/잡곡밥,아욱국,오징어볶음,쌀밥/잡곡밥,꽃게탕,레몬탕수육
땅콩죽/쌀밥,두부젓국찌개,취나물,쌀밥/잡곡밥,순두부찌개,코다리양념조림,후난식볶음밥,도토리묵냉국,닭강정
쇠고기죽/쌀밥,김치두부국,김자반,쌀밥/잡곡밥,근대국,안동찜닭,쌀밥/잡곡밥,어묵국,버섯불고기
누룽지탕/쌀밥,북어계란국,숙주나물,쌀밥/잡곡밥,배추된장국,짬뽕불고기,쌀밥/잡곡밥,차돌박이찌개,유린기
고구마죽/쌀밥,옹심이만두떡국,어묵볶음,쌀밥/잡곡밥,무채국,훈제오리구이,충무김밥,김치말이국수,오징어무침
누룽지탕/쌀밥,대구찌개,비름나물,콩나물밥,열무된장국,치킨핑거,쌀밥/잡곡밥,콩비지찌개,쇠고기야채볶음
녹두죽/쌀밥,고추장찌개,마늘쫑새우볶음,쌀밥/잡곡밥,알탕,돈육간장볶음,참치주먹밥,로제스파게티,미소장국
호박죽/쌀밥,오징어국,콩나물무침,쌀밥/잡곡밥,돈육김치찌개,가자미카레튀김,쌀밥/잡곡밥,소고기무국,닭갈비
누룽지탕/쌀밥,감자국,김구이,쌀밥/잡곡밥,콩나물국,류산슬,쌀밥/잡곡밥,청국장찌개,돼지갈비찜
야채죽/쌀밥,들깨버섯국,도토리묵무침,쌀밥/잡곡밥,쇠고기미역국,깐풍기,하와이안필라프,쌀국수,미니햄버거
누룽지탕/쌀밥,아욱된장국,감자채피망볶음,비빔밥,유부장국,오징어튀김,,,
팥죽/쌀밥,꽃게탕,콩자반,쌀밥/잡곡밥,시래기국,닭매운찜,유부초밥,우동,표고버섯탕수육
잣죽/쌀밥,냉이된장국,진미채무침,쌀밥/잡곡밥,순두부찌개,삼겹살구이,쌀밥/잡곡밥,쇠고기샤브국,주꾸미떡볶음
누룽지탕/쌀밥,북어해장국,애호박나물,쌀밥/잡곡밥,어묵국,닭데리야끼조림,쌀밥/잡곡밥,육개장,해물누룽지탕
누룽지탕/쌀밥,떡국,숙주나물,김치제육덮밥,유부장국,양장피잡채,쌀밥/잡곡밥,올갱이아욱국,소고기버섯볶음
참치죽/쌀밥,호밧젓국찌개,멸치볶음,쌀밥/잡곡밥,도토리묵냉국,수제돈까스*칠리소스,김밥,잔치국수,해물떡볶이
새우살죽/쌀밥,콩나물김치국,브로컬리*초장,쌀밥/잡곡밥,무청된장국,콩나물제육볶음,쌀밥/잡곡밥,감자국,쇠고기장조림
누룽지탕/쌀밥,들깨미역국,아삭고추무침,쌀밥/잡곡밥,배추된장국,버섯불고기,쌀밥/잡곡밥,삼계국밥,삼치양념찜
표고버섯죽/쌀밥,열무된장국,김가루실파무침,쌀밥/잡곡밥,돈육김치찌개,탕수어,쌀밥/잡곡밥,대구매운탕,언양식불고기
흑임자죽/쌀밥,매운버섯국,마늘쫑볶음,쌀밥/잡곡밥,근대국,돈육굴소스볶음,볶음밥*짜장소스,맑은국,사천식탕수육
쇠고기죽/쌀밥,북어계란국,오이사과무침,쌀밥/잡곡밥,소고기무국,오징어볶음,쌀밥/잡곡밥,꽃게탕,유린기
누룽지탕/쌀밥,어묵국,땅콩조림,쌀밥/잡곡밥,시금치된장국,훈제오리구이,쌀밥/잡곡밥,닭개장,고추잡채*꽃빵
호박죽/쌀밥,쇠고기무국,가지나물,쌀밥/잡곡밥,얼갈이된장국,등갈비김치찜,오므라이스,가쯔오장국,생선까스*탈탈소스
누룽지탕/쌀밥,오징어국,쑥갓두부무침,카레덮밥,맑은국,고구마치즈구이,쌀밥/잡곡밥,고추장찌개,갈치구이
양송이죽/쌀밥,선지해장국,브로컬리들깨찜,쌀밥/잡곡밥,콩나물국,닭볶음탕,멸치주먹밥,김치국수,깐풍육
녹두죽/쌀밥,동태탕,명엽채무침,쌀밥/잡곡밥,차돌박이된장찌개,주꾸미볶음,쌀밥/잡곡밥,연두부탕,미니채소떡갈비
누룽지탕/쌀밥,북어계란국,도라지나물,쌀밥/잡곡밥,시래기들깨탕,짬뽕불고기,쌀밥/잡곡밥,콩나물김치국,모듬장조림(소고기)
누룽지탕/쌀밥,감자국,마늘쫑무침,곤드레밥*강된장,얼갈이된장국,마늘치킨,쌀밥/잡곡밥,해물된장찌개,돈육칠리강정
닭죽/쌀밥,김치순두부찌개,도토리묵*장,쌀밥/잡곡밥,조랭이떡국,돼지갈비찜,토마토스파게티,완두콩스프,함박스테이크
흑임자죽/쌀밥,소고기미역국,꽈리고추찜,쌀밥/잡곡밥,사과오이냉국,꽁치오븐구이,쌀밥/잡곡밥,쇠고기무국,닭겨자냉채
누룽지탕/쌀밥,열무된장국,진미채볶음,쌀밥/잡곡밥,미역국,제육볶음,쌀밥/잡곡밥,고추장찌개,쇠고기숙주볶음
잣죽/쌀밥,황태국,우엉조림,쌀밥/잡곡밥,김치찌개,해물청경채볶음,볶음밥,짬뽕,깐풍기
누룽지탕/쌀밥,맑은만두육개장,참나물땅콩무침,콩나물밥,유부장국,수제돈가스,,,
해물죽/쌀밥,콩나물김치국,감자채볶음,쌀밥/잡곡밥,오징어국,동파삼겹수육,충무김밥,우동,오징어초무침
버섯죽/쌀밥,민물새우찌개,숙주나물,쌀밥/잡곡밥,우거지해장국,치킨핑거,쌀밥/잡곡밥,콩비지찌개,레몬탕수육
누룽지탕/쌀밥,시금치된장국,구운어묵볶음,쌀밥/잡곡밥,콩나물국,돈육간장볶음,쌀밥/잡곡밥,쇠고기샤브국,가자미양념찜
견과류죽/쌀밥,꽃게탕,김구이,쌀밥/잡곡밥,된장찌개,닭갈비,참치주먹밥,잔치국수,새우까스*칠리소스
야채죽/쌀밥,호박젓국찌개,아삭고추무침,쌀밥/잡곡밥,순두부찌개,고추잡채*꽃빵,쌀밥/잡곡밥,조랭이떡미역국,돈육장조림
김치죽/쌀밥,아욱국,청포묵무침,쌀밥/잡곡밥,대구매운탕,완자전,쌀밥/잡곡밥,얼갈이된장국,닭오븐구이
누룽지탕/쌀밥,감자국,문어꽈리초조림,쌀밥/잡곡밥,배추된장국,버섯불고기,쌀밥/잡곡밥,무채국,닭볶음탕
새우살죽/쌀밥,동태탕,느타리볶음,쌀밥/잡곡밥,육개장,고등어김치말이,쌀밥/잡곡밥,고추장찌개,언양식불고기
녹두죽/쌀밥,매운버섯국,김자반,쌀밥/잡곡밥,근대국,순살파닭,산채비빔밥,유부장국,모둠튀김*초간장
팥죽/쌀밥,북어해장국,깻순나물,쌀밥/잡곡밥,부대찌개,오징어볶음,쌀밥/잡곡밥,어묵국,돈육굴소스볶음
누룽지탕/쌀밥,김치국,멸치볶음,쌀밥/잡곡밥,미역국,훈제오리구이,쌀밥/잡곡밥,콩나물국,후르츠탕수육
잣죽/쌀밥,순두부찌개,연근조림,쌀밥/잡곡밥,꽃게탕,삼치데리야끼,마파두부덮밥,맑은국,소고기퀘사디아
누룽지탕/쌀밥,누룽지탕/쌀밥/새우죽,애호박나물,열무비빔밥,팽이장국,미니채소떡갈비,쌀밥/잡곡밥,된장찌개,유린기
양송이죽/쌀밥,호박젓국찌개,김구이,쌀밥/잡곡밥,오이냉국,짬뽕불고기,김밥,잔치국수,떡볶이
호박죽/쌀밥,열무된장국,숙주나물무침,쌀밥/잡곡밥,닭개장,코다리강정,*,,
누룽지탕/쌀밥,무채국,김잔파무침,쌀밥/잡곡밥,어묵국,닭갈비,쌀밥/잡곡밥,시래기국,삼겹살구이
견과류죽/쌀밥,차돌박이찌개,취나물무침,쌀밥/잡곡밥,돈육김치찌개,류산슬,유부초밥,콩국수,순대야채볶음
누룽지탕/쌀밥,감자고추장찌개,꽈리고추찜,카레덮밥,가쯔오장국,깐풍육,*,,
닭죽/쌀밥,오징어국,노각무침,쌀밥/잡곡밥,들깨버섯국,매운돼지갈비찜,쌀밥/잡곡밥,옛날돈가스,단호박스프
크림누룽지탕/쌀밥,조랭이떡국,콩나물무침,쌀밥/잡곡밥,육개장,동태무조림,쌀밥/잡곡밥,북어계란국,소고기불고기
누룽지탕/쌀밥,연두부탕,명엽채무침,쌀밥/잡곡밥,콩나물국,유자청제육볶음,쌀밥/잡곡밥,옹심이만두국,간장치킨
밤죽/쌀밥,민물새우찌개,검정콩조림,쌀밥/잡곡밥,아욱국,소고기장조림,후난식볶음밥,가쯔오장국,돈육강정
누룽지탕/쌀밥,대구찌개,시금치나물,곤드레밥*양념장,맑은국,탕수어,쌀밥/잡곡밥,들깨미역국,주꾸미볶음
쇠고기죽/쌀밥,감자국,건새우마늘쫑볶음,쌀밥/잡곡밥,근대국,닭볶음탕,멸치주먹밥,열무김치국수,부추만두
해물죽/쌀밥,우거지해장국,브로컬리들깨찜,쌀밥/잡곡밥,도토리묵냉국,동파삼겹수육,쌀밥/잡곡밥,배추된장국,가자미카레튀김
누룽지탕/쌀밥,김치두부국,김구이,쌀밥/잡곡밥,고추장찌개,돈육굴소스볶음,쌀밥/잡곡밥,닭개장,갈치구이
홍게살죽/쌀밥,시래기국,쑥갓두부무침,쌀밥/잡곡밥,쇠고기매운국,훈제오리구이,볶음밥/짜장소스,맑은국,사천식탕수육
누룽지탕/쌀밥,동태탕,진미채무침,나물비빔밥,미소장국,오징어튀김,쌀밥/잡곡밥,무채국,콩나물불고기
녹두죽/쌀밥,두부젓국찌개,열무나물,쌀밥/잡곡밥,호박잎된장찌개,깐풍기,빠에야,냉모밀국수,감자치즈구이
팥죽/쌀밥,오징어국,아삭고추무침,쌀밥/잡곡밥,어묵국,등갈비김치찜,쌀밥/잡곡밥,시금치국,해물누룽지탕
누룽지탕/쌀밥,감자국,동전쥐포무침,쌀밥/잡곡밥,된장찌개,소불고기,쌀밥/잡곡밥,돈육김치찌개,꽁치오븐구이
흑임자죽/쌀밥,콩나물국,두반장가지볶음,삼계탕,찹쌀밥,생야채,해물굴소스볶음밥,가쯔오국,로제파스타
누룽지탕/쌀밥,조랭이떡국,무생채,콩나물밥,유부장국,해물까스*칠리소스,쌀밥/잡곡밥,소고기미역국,오징어볶음
야채죽/쌀밥,북어해장국,김자반,쌀밥/잡곡밥,해물순두부찌개,안동찜닭,김밥,김치말이국수,떡볶이
해물죽/쌀밥,대구찌개,오이무침,쌀밥/잡곡밥,우무콩국,유자청제육볶음,쌀밥/잡곡밥,꽃게탕,돈육간장강정
누룽지탕/쌀밥,김치국,김구이,쌀밥/잡곡밥,어묵국,돈육굴소스볶음,쌀밥/잡곡밥,매운소고기국,유산슬
새우살죽/쌀밥,들깨버섯국,진미채무침,쌀밥/잡곡밥,우거지해장국,삼치양념구이,김치볶음밥,유부장국,탄두리치킨
누룽지탕/쌀밥,새알만두국,애호박나물,쌀밥/잡곡밥,쇠고기샤브국,유린기,,,
참치죽/쌀밥,된장찌개,문어꽈리초조림,쌀밥/잡곡밥,오이지냉국,매운돼지갈비찜,멸치주먹밥,우동,표고버섯탕수육
소고기죽/쌀밥,건새우아욱국,연근조림,쌀밥/잡곡밥,닭곰탕,주꾸미떡볶음,쌀밥/잡곡밥,차돌박이찌개,쇠고기장조림
누룽지탕/쌀밥,무채국,김잔파무침,쌀밥/잡곡밥,근대국,닭갈비,쌀밥/잡곡밥,호박젓국찌개,장어강정
홍게살죽/쌀밥,북어국,숙주나물,쌀밥/잡곡밥,콩나물국,짬뽕불고기,김밥볶음밥,꼬치어묵탕,케이준샐러드
누룽지탕/쌀밥,고추장찌개,땅콩조림,카레덮밥,가쯔오장국,떡갈비조림,쌀밥/잡곡밥,쇠고기무국,꽁치김치말이
야채죽/쌀밥,감자국,느타리볶음,쌀밥/잡곡밥,돈육김치찌개,갈치양념조림,야채주먹밥,잔치국수,훈제오리냉채
견과류죽/쌀밥,오징어국,시래기조림,쌀밥/잡곡밥,연두부탕,닭오븐구이,쌀밥/잡곡밥,콩가루배추국,언양식불고기
누룽지탕/쌀밥,들깨미역국,건새우마늘쫑볶음,쌀밥/잡곡밥,콩나물김치국,소불고기,쌀밥/잡곡밥,어묵국,닭볶음탕
밤죽/쌀밥,민물새우찌개,김구이,쌀밥/잡곡밥,얼갈이된장국,오징어볶음,목살필라프,미니우동,생선까스*탈탈소스
누룽지탕/쌀밥,대구찌개,깻순나물,열무보리비빔밥,맑은국,깐풍육,쌀밥/잡곡밥,육개장,고추잡채*꽃빵
브로컬리죽/쌀밥,시금치국,지리멸치볶음,쌀밥/잡곡밥,미역오이냉국,돈육장조림,쌀밥/잡곡밥,옛날돈까스,미소장국
단호박죽/쌀밥,선지해장국,꽈리고추찜,쌀밥/잡곡밥,된장찌개,굴비구이,쌀밥/잡곡밥,시래기국,돈삼겹보쌈
누룽지탕/쌀밥,오징어국,김자반,쌀밥/잡곡밥,들깨버섯국,제육볶음,쌀밥/잡곡밥,콩나물국,닭데리야끼구이
김치죽/쌀밥,황태국,노각무침,쌀밥/잡곡밥,차돌박이된장찌개,해물누룽지탕,곤드레밥*강된장,맑은국,후르츠탕수육
양송이죽/쌀밥,고추장찌개,시래기조림,쌀밥/잡곡밥,닭개장,동태포전,충무김밥,콩국수,오징어초무침
잣죽/쌀밥,열무된장국,영양부추생채,쌀밥/잡곡밥,알탕,쇠고기단호박조림,쌀밥/잡곡밥,부대찌개,등갈비바베큐조림
누룽지탕/쌀밥,감자국,두부쑥갓무침,쌀밥/잡곡밥,시금치된장국,훈제오리구이,쌀밥/잡곡밥,호박새우젓국,매운닭찜
닭죽/쌀밥,김치국,동전쥐포무침,쌀밥/잡곡밥,미역국,소고기불고기,투움바스파게티,가쯔오국,함박스테이크
누룽지탕죽/쌀밥,소고기무국,가지볶음,비빔밥,미소장국,해물까스,쌀밥/잡곡밥,시래기국,양념갈비찜
야채죽/쌀밥,연두부탕,연근조림,쌀밥/잡곡밥,된장찌개,꽁치레몬구이,멸치주먹밥,나가사끼짬뽕,새우또띠아
녹두죽/쌀밥,무채국,감자조림,쌀밥/잡곡밥,우무묵냉국,마늘치킨,쌀밥/잡곡밥,어묵국,오징어볶음
누룽지탕/쌀밥,버섯매운국,명엽채무침,쌀밥/잡곡밥,배추된장국,돈육간장불고기,쌀밥/잡곡밥,차돌박이찌개,코다리조림
팥죽/쌀밥,콩나물국,느타리버섯볶음,쌀밥/잡곡밥,쇠고기샤브국,탕수어,볶음밥*짜장소스,맑은국,깐풍기
누룽지탕/쌀밥,대구탕,검정콩조림,콩나물밥,팽이장국,치킨핑거,*,,
새송이죽/쌀밥,고추장찌개,크랜베리멸치볶음,쌀밥/잡곡밥,근대국,모듬장조림,오므라이스,미역장국,모듬튀김*칠리소스
호두죽/쌀밥,맑은만두육개장,김자반,쌀밥/잡곡밥,조랭이떡국,소고기낙지볶음,쌀밥/잡곡밥,황태국,유자청제육볶음
누룽지탕/쌀밥,동태찌개,진미채무침,쌀밥/잡곡밥,콩나물국,버섯불고기,쌀밥/잡곡밥,돈육김치찌개,유산슬
참치죽/쌀밥,아욱국,미역줄기볶음,쌀밥/잡곡밥,들깨시래기국,동파삼겹수육,닭갈비볶음밥,가쯔오장국,크림카레우동
누룽지탕/쌀밥,김치콩나물국,문어꽈리초조림,김치제육덮밥,맑은국,샐러드파스타,쌀밥/잡곡밥,육개장,고등어구이
쇠고기죽/쌀밥,어묵국,아삭고추무침,쌀밥/잡곡밥,꽃게탕,간장찜닭,꼬마김밥*겨자장,잔치국수,돈육강정
홍게살죽/쌀밥,열무된장국,가지나물,쌀밥/잡곡밥,미역국,매운주꾸미볶음,쌀밥/잡곡밥,콩비지찌개,생선까스*칠리소스
누룽지탕/쌀밥,감자국,김구이,쌀밥/잡곡밥,연두부국,돈육고추장불고기,쌀밥/잡곡밥,청국장찌개,가자미튀김
김치죽/쌀밥,북어해장국,동전쥐포무침,쌀밥/잡곡밥,쇠고기미역국,닭매운찜,김밥,김치말이국수,떡볶이
누룽지탕/쌀밥,배추된장국,무나물,소불고기덮밥,가쯔오장국,오징어튀김,쌀밥/잡곡밥,매운쇠고기국,유린기
야채죽/쌀밥,된장찌개,두부브로컬리무침,쌀밥/잡곡밥,시래기국,등갈비김치찜,쌀밥/잡곡밥,크림스프,수제돈까스*칠리소스
해물죽/쌀밥,선지해장국,멸치볶음,쌀밥/잡곡밥,고추장찌개,언양식불고기,쌀밥/잡곡밥,도토리묵냉국,해물누룽지탕
누룽지탕/쌀밥,무채국,김자반,쌀밥/잡곡밥,어묵국,돈육굴소스볶음,쌀밥/잡곡밥,들깨버섯국,오징어볶음
잣죽/쌀밥,열무된장국,연근조림,쌀밥/잡곡밥,닭개장,류산슬,유부초밥,우동,순대야채볶음
누룽지탕/쌀밥,떡국,숙주나물,카레덮밥,유부장국,감자프리타타,,,
양송이죽/쌀밥,콩나물국,취나물무침,쌀밥/잡곡밥,꽃게탕,소고기장조림,김치볶음밥/계란,유부주머니국,해물까스*탈탈소스
해물죽/쌀밥,오징어국,오이무침,쌀밥/잡곡밥,아욱된장국,돼지갈비찜/잡채,쌀밥/잡곡밥,시금치된장국,미니채소떡갈비
누룽지탕/쌀밥,된장찌개,멸치볶음,쌀밥/잡곡밥,어묵탕,돈육고추장불고기,쌀밥/잡곡밥,참치김치찌개,안동찜닭
누룽지탕/쌀밥,알탕,시금치나물,곤드레밥*강된장,맑은국,돈육강정,쌀밥/잡곡밥,쇠고기샤브국,가자미양념찜
쇠고기죽/쌀밥,시래기국,미역나물,쌀밥/잡곡밥,들깨버섯국,오징어볶음,김치주먹밥,우동,타코야끼
홍게살죽/쌀밥,연두부국,진미채무침,쌀밥/잡곡밥,설렁탕,김치전,쌀밥/잡곡밥,호박젓국찌개,장어강정
누룽지탕/쌀밥,콩나물국,김구이,쌀밥/잡곡밥,열무된장국,버섯불고기,쌀밥/잡곡밥,동태찌개,쇠고기장조림
김치죽/쌀밥,꽃게탕,꽈리고추찜,쌀밥/잡곡밥,매운소고기무국,조기구이,해물굴소스볶음밥,가쯔오장국,닭오븐구이
누룽지탕/쌀밥,북어해장국,모듬묵샐러드,콩나물밥,유부장국,생선가스*칠리소스,쌀밥/잡곡밥,차돌박이된장찌개,꽁치구이
야채죽/쌀밥,새알미역국,연근조림,쌀밥/잡곡밥,감자국,김치제육볶음,유부초밥,짬뽕,탕수육
크림누룽지탕/쌀밥,올갱이아욱국,단배추나물,쌀밥/잡곡밥,오징어국,닭갈비,쌀밥/잡곡밥,닭곰탕,류산슬
누룽지탕/쌀밥,김치두부국,가지나물,쌀밥/잡곡밥,고추장찌개,돈육간장불고기,쌀밥/잡곡밥,옹심이만두국,코다리조림
팥죽/쌀밥,연두부탕,시래기조림,쌀밥/잡곡밥,콩비지찌개,닭볶음탕,볶음밥*짜장소스,맑은국,탕수어
누룽지탕/쌀밥,된장찌개,건새우마늘쫑볶음,쌀밥/잡곡밥,콩나물국,등갈비김치찜,쌀밥/잡곡밥,대구찌개,언양식불고기
잣죽/쌀밥,배추된장국,고구마순나물,쌀밥/잡곡밥,얼갈이국,쇠고기낙지볶음,야채주먹밥,김치우동,깐풍기
녹두죽/쌀밥,우거지해장국,문어꽈리초조림,쌀밥/잡곡밥,근대국,오징어볶음,쌀밥/잡곡밥,육개장,가자미카레튀김
누룽지탕/쌀밥,들깨버섯국,진미채무침,쌀밥/잡곡밥,황태국,소불고기,쌀밥/잡곡밥,해물된장찌개,짬뽕불고기
흑임자죽/쌀밥,무채국,김자반,쌀밥/잡곡밥,어묵국,동파삼겹수육,쌀밥/잡곡밥,부대찌개,갈치구이
누룽지탕/쌀밥,민물새우찌개,느타리볶음,쌀밥/잡곡밥,콩나물국,수제돈가스,자기계발의날,,
고구마죽/쌀밥,피바지락국,유채나물,쌀밥/잡곡밥,시래기국,마늘간장치킨,목살필라프,가쯔오장국,로제스파게티
새우살죽/쌀밥,쇠고기무국,숙주나물,쌀밥/잡곡밥,배추된장국,훈제오리구이,쌀밥/잡곡밥,순두부찌개,해물누룽지탕
누룽지탕/쌀밥,열무된장국,명엽채볶음,쌀밥/잡곡밥,쇠고기샤브국,오징어볶음,쌀밥/잡곡밥,감자국,돈육간장불고기
브로컬리죽/쌀밥,북어해장국,김구이,쌀밥/잡곡밥,매운콩나물국,닭데리야끼구이,참치회덮밥,미소장국,쇠고기퀘사디아
누룽지탕/쌀밥,꽃게탕,어묵꽈리고추볶음,곤드레밥*강된장,맑은국,사천식탕수육,쌀밥/잡곡밥,된장찌개,해물청경채볶음
쇠고기죽/쌀밥,선지해장국,가지나물,쌀밥/잡곡밥,미역국,닭갈비,쌀밥/잡곡밥,뼈감자탕,해물까스*탈탈소스
홍게살죽/쌀밥,근대국,카레감자채볶음,쌀밥/잡곡밥,육개장,고등어구이,쌀밥/잡곡밥,콩비지찌개,쇠고기장조림
누룽지탕/쌀밥,김치국,멸치볶음,쌀밥/잡곡밥,순두부찌개,소고기불고기,쌀밥/잡곡밥,차돌박이찌개,유린기
호박죽/쌀밥,홍합탕,마늘쫑무침,쌀밥/잡곡밥,청국장찌개,돈육강정,통새우김밥,미니짬뽕,고구마그라탕
누룽지탕/쌀밥,맑은만두국,무나물,콩나물밥*양념장,팽이장국,치킨핑거*요거트드레싱,쌀밥/잡곡밥,시금치된장국,매운돼지갈비찜
해물죽/쌀밥,대구매운탕,숙주나물,쌀밥/잡곡밥,아욱국,유자청제육볶음,볶음밥*짜장소스,유부장국,닭오븐구이
잣죽/쌀밥,어묵국,미역줄기볶음,쌀밥/잡곡밥,알탕,언양식불고기,쌀밥/잡곡밥,콩가루배추국,미트볼케찹조림
누룽지탕/쌀밥,얼갈이국,꽃맛살볶음,쌀밥/잡곡밥,꽃게탕,돈육굴소스볶음,쌀밥/잡곡밥,닭개장,코다리양념조림
땅콩죽/쌀밥,무채국,동전쥐포무침,쌀밥/잡곡밥,들깨시래기국,주꾸미볶음,김치볶음밥/계란,가쯔오장국,탄두리치킨
누룽지탕/쌀밥,오징어국,꽈리고추찜,카레덮밥,맑은국,새우까스*탈탈소스,쌀밥/잡곡밥,열무된장국,삼겹살구이
흑임자죽/쌀밥,된장찌개,가지나물,쌀밥/잡곡밥,콩나물국,닭볶음탕,멸치주먹밥,해물수제비,양장피잡채
홍게살죽/쌀밥,우거지해장국,진미채무침,쌀밥/잡곡밥,근대국,버섯불고기,쌀밥/잡곡밥,고추장찌개,돈육장조림
누룽지탕/쌀밥,민물새우찌개,김구이,쌀밥/잡곡밥,얼갈이국,닭갈비,쌀밥/잡곡밥,부대찌개,굴비구이
야채죽/쌀밥,감자국,쑥갓두부무침,쌀밥/잡곡밥,배추된장국,짬뽕불고기,참치주먹밥,잔치국수,돈육강정
누룽지탕/쌀밥,재첩국,명엽채무침,나물비빔밥,가쯔오장국,오징어튀김,*,,
견과류죽/쌀밥,냉이된장국,청포묵무침,쌀밥/잡곡밥,두부김치국,레몬탕수육,쌀밥/잡곡밥,연두부탕,미니함박조림
닭죽/쌀밥,북어국,시금치나물,쌀밥/잡곡밥,매운버섯국,해물누룽지탕,쌀밥/잡곡밥,어묵국,깐풍기
누룽지탕/쌀밥,고추장찌개,시래기조림,쌀밥/잡곡밥,미역국,쇠고기낙지볶음,쌀밥/잡곡밥,된장찌개,돈육간장불고기
팥죽/쌀밥,바지락국,모듬묵*장,쌀밥/잡곡밥,차돌박이찌개,유린기,토마토스파게티,옥수수스프,굴소스볶음밥
누룽지탕/쌀밥,매생이굴국,감자채볶음,단호박영양밥,유부장국,언양식불고기,쌀밥/잡곡밥,육개장,삼치구이
참치야채죽/쌀밥,꽃게탕,진미채무침,쌀밥/잡곡밥,콩나물국,오리불고기,빠에야,쌀국수,웨지감자
김치죽/쌀밥,콩가루배추국,아삭고추무침,쌀밥/잡곡밥,떡만두국,쇠고기모듬장조림,쌀밥/잡곡밥,쇠고기샤브국,오징어볶음
누룽지탕/쌀밥,김치국,자반김,쌀밥/잡곡밥,아욱국,제육볶음,쌀밥/잡곡밥,순두부찌개,미트볼케찹조림
호박죽/쌀밥,감자국,미역줄기볶음,쌀밥/잡곡밥,시금치국,등갈비김치찜,생선초밥,우동,떡볶이
누룽지탕/쌀밥,선지해장국,멸치볶음,콩나물밥*양념장,가쯔오국,가자미튀김,쌀밥/잡곡밥,오징어국,양념치킨
야채죽/쌀밥,홍합탕,시금치나물,쌀밥/잡곡밥,매운어묵국,동파삼겹수육,짜장밥,계란국,사천식탕수육
낙지죽/쌀밥,시래기국,쑥갓두부무침,쌀밥/잡곡밥,동태찌개,치즈함박스테이크,쌀밥/잡곡밥,김치찌개,안동찜닭
누룽지탕/쌀밥,얼갈이된장국,꽈리고추찜,쌀밥/잡곡밥,콩나물국,짬뽕불고기,쌀밥/잡곡밥,된장찌개,주꾸미볶음
표고버섯죽/쌀밥,무채국,브로컬리들깨찜,쌀밥/잡곡밥,연두부탕,닭볶음탕,충무김밥,김치말이국수,오징어초무침
누룽지탕/쌀밥,호박젓국찌개,명엽채무침,곤드레밥*강된장,팽이장국,탕수어,쌀밥/잡곡밥,콩비지찌개,고등어구이
녹두죽/쌀밥,버섯매운탕,연근조림,쌀밥/잡곡밥,근대국,돼지갈비찜,쌀밥/잡곡밥,옛날돈까스,크림스프
쇠고기죽/쌀밥,북어계란국,톳두부무침,쌀밥/잡곡밥,닭개장,갈치양념조림,쌀밥/잡곡밥,쇠고기미역국,생선까스*탈탈소스
누룽지탕/쌀밥,콩나물김치국,쥐포무침,쌀밥/잡곡밥,열무된장국,훈제오리구이,쌀밥/잡곡밥,민물새우찌개,닭갈비
누룽지탕/쌀밥,꽃게탕,김구이,쌀밥/잡곡밥,아욱국,돈육굴소스볶음,자기계발의날,,
소라살죽/쌀밥,소고기무국,시래기지짐,쌀밥/잡곡밥,순두부찌개,오징어볶음,김밥볶음밥,짬뽕,깐풍기
양송이죽/쌀밥,대구매운탕,검정콩조림,쌀밥/잡곡밥,고추장찌개,버섯불고기,쌀밥/잡곡밥,육개장,코다리조림
누룽지탕/쌀밥,된장찌개,단배추나물,쌀밥/잡곡밥,콩나물국,돈육고추장불고기,쌀밥/잡곡밥,들깨시래기국,훈제오리볶음
누룽지탕/쌀밥,어묵국,김자반,쌀밥/잡곡밥,떡국,소갈비찜,쌀밥/잡곡밥,부대찌개,마늘간장치킨
해물죽/쌀밥,감자국,무생채,쌀밥/잡곡밥,차돌박이찌개,안동찜닭,새우볶음밥,우동,깐풍육
잣죽/쌀밥,쇠고기샤브국,멸치볶음,쌀밥/잡곡밥,두부김치국,언양식불고기,쌀밥/잡곡밥,북어계란국,미트볼떡조림
누룽지탕/쌀밥,호박젓국찌개,구이김,쌀밥/잡곡밥,시래기국,쇠고기숙주볶음,쌀밥/잡곡밥,미역국,매운돼지갈비찜
참치야채/쌀밥,냉이된장국,모듬묵*장,쌀밥/잡곡밥,콩나물국,치즈함박스테이크,멸치주먹밥,잔치국수,유린기
누룽지탕/쌀밥,매생이굴국,브로컬리들깨무침,비빔밥,맑은국,치킨핑거*요거트소스,쌀밥/잡곡밥,닭곰탕,오징어볶음
야채죽/쌀밥,선지해장국,미역줄기볶음,쌀밥/잡곡밥,육개장,탕수육,닭갈비볶음밥,가쯔오국,크림카레우동
호박죽/쌀밥,바지락국,무채나물,쌀밥/잡곡밥,꽃게탕,고추잡채*꽃빵,쌀밥/잡곡밥,해물순두부찌개,닭데리야끼구이
누룽지탕/쌀밥,북어국,진미채무침,쌀밥/잡곡밥,알탕,돈육굴소스볶음,쌀밥/잡곡밥,김치찌개,굴비구이
닭죽/쌀밥,근대국,땅콩조림,쌀밥/잡곡밥,어묵국,등갈비김치말이,목살필라프,팽이가쯔오장국,로제파스타
